State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,03780,Higley Unified District,"93,112","20,207","1,000"
AZ,04,08460,Hillside Elementary District,93,17,2
AZ,04,03820,Holbrook Unified District,"9,891","1,948",644
AZ,04,03870,Humboldt Unified District,"64,343","8,867","1,312"
AZ,04,03900,Hyder Elementary District,348,36,10
AZ,04,03950,Indian Oasis-Baboquivari Unified District,"6,505","1,410",189
AZ,04,03960,Isaac Elementary District,"44,375","6,896","2,032"
AZ,04,03990,J. O. Combs Unified School District,"47,906","9,987",673
AZ,04,04010,Joseph City Unified District,"1,791",379,118
AZ,04,04060,Kayenta Unified District,"10,280","2,389",916
AZ,04,00295,Kingman Unified School District,"75,087","9,416","2,052"
AZ,04,04170,Kirkland Elementary District,"1,160",122,28
AZ,04,04200,Klondyke Elementary District,90,13,3
AZ,04,04230,Kyrene Elementary District,"164,769","17,106","1,151"
AZ,04,04280,Lake Havasu Unified District,"62,843","6,646","1,167"
AZ,04,04290,Laveen Elementary District,"56,841","8,777","1,301"
AZ,04,04320,Liberty Elementary District,"41,836","5,727",482
AZ,04,04380,Litchfield Elementary District,"109,511","13,864","1,093"
AZ,04,04410,Littlefield Unified District,"3,284",357,103
AZ,04,04440,Littleton Elementary District,"53,846","8,543","1,147"
AZ,04,04500,Madison Elementary District,"64,429","5,166",571
AZ,04,04530,Maine Consolidated School District,"1,450",180,48
AZ,04,04570,Mammoth-San Manuel Unified District,"4,861",761,164
AZ,04,04630,Marana Unified District,"105,662","17,630","1,435"
AZ,04,04720,Maricopa Unified School District,"67,063","12,846","1,190"
AZ,04,04820,Mayer Unified District,"6,071",715,206
AZ,04,04860,McNary Elementary District,513,159,52
AZ,04,04920,McNeal Elementary District,440,84,17
AZ,04,04970,Mesa Unified District,"509,979","80,162","11,825"
AZ,04,05030,Miami Unified District,"6,857","1,192",316
AZ,04,05070,Mingus Union High School District,"36,591","1,437",240
AZ,04,05100,Mobile Elementary District,74,5,0
AZ,04,05190,Mohave Valley Elementary District,"24,570","2,083",429
AZ,04,05220,Mohawk Valley Elementary District,"1,032",97,22
AZ,04,05320,Morenci Unified District,"6,664","1,412",95
AZ,04,05340,Morristown Elementary District,"1,774",187,31
AZ,04,05400,Murphy Elementary District,"15,947","1,719",569
AZ,04,05430,Naco Elementary District,"1,220",278,63
AZ,04,05460,Nadaburg Unified School District,"10,286","1,692",184
AZ,04,05530,Nogales Unified District,"21,435","4,320","1,420"
AZ,04,05640,Oracle Elementary District,"17,307",857,147
AZ,04,05670,Osborn Elementary District,"43,374","3,411",706
AZ,04,05730,Owens-Whitney Elementary District,571,66,21
AZ,04,05820,Page Unified District,"12,538","2,627",723
AZ,04,05850,Palo Verde Elementary District,"3,155",462,63
AZ,04,08430,Paloma School District,177,57,9
AZ,04,05880,Palominas Elementary District,"10,161","1,416",256
AZ,04,05930,Paradise Valley Unified District,"275,272","40,525","3,727"
AZ,04,05980,Parker Unified School District,"9,362","1,433",435
AZ,04,06000,Patagonia Elementary District,"1,411",95,26
AZ,04,06030,Patagonia Union High School District,"3,235",107,22
AZ,04,06070,Payson Unified District,"23,012","2,684",576
AZ,04,06120,Peach Springs Unified District,"1,380",331,123
AZ,04,06150,Pearce Elementary District,"1,925",118,36
AZ,04,06210,Pendergast Elementary District,"79,103","11,202","1,922"
AZ,04,06250,Peoria Unified School District,"258,886","43,558","4,418"
AZ,04,06300,Phoenix Elementary District,"60,413","5,522","1,570"
AZ,04,06330,Phoenix Union High School District,"744,116","40,134","7,598"
AZ,04,06360,Picacho Elementary District,"7,378",111,26
AZ,04,06440,Pima Unified District,"4,248","1,018",114
AZ,04,06510,Pine Strawberry Elementary District,"2,943",211,49
AZ,04,00023,Pinon Unified District,"6,775","1,441",637
AZ,04,06630,Pomerene Elementary District,918,130,25
AZ,04,06730,Prescott Unified District,"64,878","5,600",710
AZ,04,06780,Quartzsite Elementary District,"3,780",125,26
AZ,04,06810,Queen Creek Unified District,"67,829","14,994",568
AZ,04,06850,Ray Unified District,"3,197",545,124
AZ,04,06870,Red Mesa Unified District,"7,132","1,415",370
AZ,04,06900,Red Rock Elementary District,"4,077",587,63
AZ,04,06930,Redington Elementary District,85,18,1
AZ,04,07020,Riverside Elementary District,"7,857","1,348",274
AZ,04,07080,Roosevelt Elementary District,"123,127","17,142","3,793"
AZ,04,07130,Round Valley Unified District,"7,377","1,423",335
AZ,04,07200,Sacaton Elementary District,"8,645","1,395",295
AZ,04,07170,Saddle Mountain Unified School District,"14,752","3,202",372
AZ,04,07240,Safford Unified District,"17,392","3,335",442
AZ,04,07300,Sahuarita Unified District,"31,898","6,638",510
AZ,04,00005,Salome Consolidated Elementary District,"2,026",74,26
AZ,04,06960,San Carlos Unified District,"8,203","2,130",630
AZ,04,07380,San Fernando Elementary District,52,5,1
AZ,04,07430,San Simon Unified District,670,74,34
AZ,04,06740,Sanders Unified District,"5,159",965,308
AZ,04,07500,Santa Cruz Elementary District,"1,777",368,59
AZ,04,07520,Santa Cruz Valley Unified District,"22,302","4,336",863
AZ,04,07530,Santa Cruz Valley Union High School District,"17,633",644,105
AZ,04,07570,Scottsdale Unified District,"244,061","29,402","1,680"
AZ,04,09733,Sedona-Oak Creek Joint Unified District,"17,978","1,004",176
AZ,04,07630,Seligman Unified District,"1,372",122,62
AZ,04,07680,Sentinel Elementary District,123,23,3
AZ,04,07700,Show Low Unified District,"17,782","2,783",631
AZ,04,01460,Sierra Vista Unified District,"49,085","7,581","1,391"
AZ,04,07770,Skull Valley Elementary District,535,58,22
AZ,04,07820,Snowflake Unified District,"13,155","2,919",657
AZ,04,07860,Solomon Elementary District,"2,714",364,47
AZ,04,07890,Somerton Elementary District,"28,510","3,862",957
AZ,04,07920,Sonoita Elementary District,"1,824",110,15
AZ,04,08020,St. David Unified District,"3,708",553,95
AZ,04,08080,St. Johns Unified District,"4,061",884,218
AZ,04,08130,Stanfield Elementary District,"4,545",537,118
AZ,04,08170,Sunnyside Unified District,"89,868","17,281","4,365"
AZ,04,08230,Superior Unified School District,"3,205",422,101
AZ,04,08280,Tanque Verde Unified District,"11,518","1,649",67
AZ,04,08310,Tempe School District,"164,856","12,418","2,280"
AZ,04,08340,Tempe Union High School District,"329,625","14,594","1,338"
AZ,04,08410,Thatcher Unified District,"8,277","1,769",237
AZ,04,08490,Tolleson Elementary District,"17,543","2,749",552
AZ,04,08520,Tolleson Union High School District,"205,584","13,284","1,791"
AZ,04,08550,Toltec Elementary District,"15,987","1,611",483
AZ,04,08600,Tombstone Unified District,"7,140",852,246
AZ,04,05760,Tonto Basin Elementary District,"1,646",104,35
AZ,04,08640,Topock Elementary District,"2,474",139,37
AZ,04,08680,Tuba City Unified District,"14,957","3,085","1,024"
AZ,04,08800,Tucson Unified District,"487,844","67,057","12,771"
AZ,04,08820,Union Elementary District,"19,227","3,366",505
AZ,04,08850,Vail Unified District,"69,522","14,211",709
AZ,04,08880,Valentine Elementary District,222,31,15
AZ,04,08910,Valley Union High School District,"3,393",148,38
AZ,04,00022,Vernon Elementary District,"2,095",204,64
AZ,04,09030,Walnut Grove Elementary District,177,6,2
AZ,04,09060,Washington Elementary District,"254,810","29,162","5,939"
AZ,04,09090,Wellton Elementary District,"3,159",233,45
AZ,04,09120,Wenden Elementary District,493,48,14
AZ,04,09160,Whiteriver Unified District,"14,059","3,394","1,295"
AZ,04,09190,Wickenburg Unified District,"16,873","1,456",173
AZ,04,09250,Willcox Unified District,"7,206","1,265",285
AZ,04,09310,Williams Unified District,"6,104",883,219
AZ,04,09360,Williamson Valley Elementary School District,745,60,15
AZ,04,09390,Wilson Elementary District,"4,642",570,206
AZ,04,09430,Window Rock Unified District,"10,679","2,160",639
AZ,04,09460,Winslow Unified District,"11,142","2,085",618
AZ,04,09510,Yarnell Elementary District,"1,158",77,35
AZ,04,09540,Young Elementary School District,863,80,25
AZ,04,09570,Yucca Elementary District,746,70,38
AZ,04,09600,Yuma Elementary District,"102,766","10,636","1,557"
AZ,04,09630,Yuma Union High School District,"203,304","12,066","1,855"
AR,05,02250,Alma School District,"15,854","3,027",552
AR,05,02280,Alpena School District,"2,842",515,105
AR,05,02430,Arkadelphia School District,"15,306","2,040",443
AR,05,02550,Armorel School District,"1,418",291,37
AR,05,02580,Ashdown School District,"8,721","1,387",323
AR,05,02610,Atkins Public Schools,"6,566","1,175",244
AR,05,02670,Augusta School District,"2,915",438,157
