State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
NH,33,06600,Tamworth School District,"2,929",326,45
NH,33,06660,Thornton School District,"2,708",240,17
NH,33,06720,Timberlane Regional School District,"26,305","3,719",103
NH,33,06750,Unity School District,"1,550",166,15
NH,33,06780,Wakefield School District,"5,418",684,55
NH,33,06870,Warren School District,825,111,24
NH,33,06900,Washington School District,"1,217",165,17
NH,33,06910,Waterville Valley School District,508,61,1
NH,33,06930,Weare School District,"9,170",975,42
NH,33,06990,Wentworth School District,845,57,9
NH,33,07020,Westmoreland School District,"1,726",205,10
NH,33,07050,White Mountain Regional School District,"8,568","1,110",103
NH,33,07115,Wilton-Lyndeborough School District,"5,646",793,27
NH,33,07140,Winchester School District,"4,198",566,65
NH,33,07170,Windham School District,"16,081","3,001",49
NH,33,07200,Windsor School District,264,46,1
NH,33,07230,Winnacunnet Cooperative School District,"32,083","1,186",49
NH,33,07300,Winnisquam Regional School District,"12,048","1,728",133
NJ,34,00660,Absecon City School District,"9,174","1,278",142
NJ,34,00690,Alexandria Township School District,"4,840",481,16
NJ,34,00720,Allamuchy Township School District,"5,398",661,30
NJ,34,00750,Allendale Borough School District,"6,828",872,23
NJ,34,00780,Allenhurst Borough School District,472,54,5
NJ,34,00810,Alloway Township School District,"3,297",548,21
NJ,34,00840,Alpha Borough School District,"2,355",312,32
NJ,34,00870,Alpine Borough School District,"1,757",293,15
NJ,34,00900,Andover Regional School District,"6,676",850,38
NJ,34,00930,Asbury Park City School District,"15,199","1,961",531
NJ,34,00960,Atlantic City School District,"38,652","6,281","1,978"
NJ,34,01020,Atlantic Highlands Borough School District,"4,417",286,7
NJ,34,01050,Audubon Borough School District,"9,724","1,338",81
NJ,34,01110,Avalon Borough School District,"1,248",64,1
NJ,34,01140,Avon-by-the-Sea Borough School District,"1,934",203,9
NJ,34,16470,Barnegat Township School District,"25,002","3,646",472
NJ,34,01170,Barrington Borough School District,"7,094",970,76
NJ,34,01200,Bass River Township School District,"1,367",90,13
NJ,34,01230,Bay Head Borough School District,957,114,4
NJ,34,01260,Bayonne City School District,"69,561","11,543","1,808"
NJ,34,01290,Beach Haven Borough School District,"1,057",39,3
NJ,34,01320,Bedminster Township School District,"8,308",858,31
NJ,34,01350,Belleville Town School District,"37,591","5,373",803
NJ,34,01380,Bellmawr Borough School District,"11,739","1,085",160
NJ,34,01410,Belmar Borough School District,"5,911",560,59
NJ,34,01440,Belvidere Town School District,"2,550",402,39
NJ,34,01500,Bergenfield Borough School District,"28,240","4,584",355
NJ,34,01530,Berkeley Heights Township School District,"13,157","2,513",44
NJ,34,01560,Berkeley Township School District,"45,025","2,400",250
NJ,34,01590,Berlin Borough School District,"7,509",850,63
NJ,34,01620,Berlin Township School District,"5,883",796,154
NJ,34,01650,Bernards Township School District,"27,952","5,392",88
NJ,34,01710,Bethlehem Township School District,"3,769",399,9
NJ,34,01740,Beverly City School District,"2,522",412,90
NJ,34,01770,Black Horse Pike Regional School District,"86,299","4,576",510
NJ,34,01800,Blairstown Township School District,"7,388",500,23
NJ,34,01830,Bloomfield Township School District,"52,229","7,235",840
NJ,34,01860,Bloomingdale Borough School District,"7,626",980,57
NJ,34,01890,Bloomsbury Borough School District,797,93,8
NJ,34,01920,Bogota Borough School District,"8,753","1,348",143
NJ,34,01950,Boonton Town School District,"8,847","1,185",129
NJ,34,01980,Boonton Township School District,"4,399",753,26
NJ,34,02030,Bordentown Regional School District,"16,460","2,303",122
NJ,34,02100,Bound Brook Borough School District,"12,041","1,829",275
NJ,34,02130,Bradley Beach Borough School District,"4,285",363,40
NJ,34,02160,Branchburg Township School District,"15,005","2,288",47
NJ,34,02220,Brick Township School District,"75,758","10,274",982
NJ,34,02250,Bridgeton City School District,"26,768","5,307","1,453"
NJ,34,02280,Bridgewater-Raritan Regional School District,"54,048","8,971",286
NJ,34,02310,Brielle Borough School District,"4,986",837,18
NJ,34,02340,Brigantine City School District,"7,747",693,73
NJ,34,02370,Brooklawn Borough School District,"1,820",284,54
NJ,34,02400,Buena Regional School District,"11,580","1,789",216
NJ,34,02430,Burlington City School District,"9,832","1,460",321
NJ,34,02460,Burlington Township School District,"24,203","3,926",310
NJ,34,02520,Butler Borough School District,"8,076","1,067",66
NJ,34,02550,Byram Township School District,"8,131",853,37
NJ,34,02580,Caldwell-West Caldwell School District,"19,708","3,046",134
NJ,34,02610,Califon Borough School District,"1,011",107,4
NJ,34,02640,Camden City School District,"71,986","14,822","6,061"
NJ,34,02700,Cape May City School District,"2,778",140,11
NJ,34,02760,Cape May Point Borough School District,306,12,1
NJ,34,02790,Carlstadt Borough School District,"6,354",590,57
NJ,34,02800,Carlstadt-East Rutherford School District,"16,347",650,50
NJ,34,02820,Carteret Borough School District,"25,275","4,338",649
NJ,34,02850,Cedar Grove Township School District,"12,766","1,874",76
NJ,34,02910,Central Regional School District,"52,699","2,423",260
NJ,34,03000,Cherry Hill Township School District,"74,756","12,501",866
NJ,34,03030,Chesilhurst Borough School District,"1,540",206,44
NJ,34,03060,Chester Township School District,"9,428","1,211",31
NJ,34,03090,Chesterfield Township School District,"9,509",731,14
NJ,34,03120,Cinnaminson Township School District,"17,221","2,934",138
NJ,34,03150,Clark Township School District,"15,395","2,393",56
NJ,34,03180,Clayton Borough School District,"8,932","1,535",175
NJ,34,03210,Clearview Regional School District,"29,287","2,657",107
NJ,34,03240,Clementon Borough School District,"5,352",813,210
NJ,34,03270,Cliffside Park Borough School District,"25,619","2,971",609
NJ,34,03300,Clifton City School District,"88,577","13,683","1,750"
NJ,34,03330,Clinton Town-Glen Gardner School District,"4,484",448,19
NJ,34,03360,Clinton Township School District,"13,592","1,282",29
NJ,34,03390,Closter Borough School District,"8,569","1,145",58
NJ,34,03420,Collingswood Borough School District,"14,225","1,865",198
NJ,34,03450,Colts Neck Township School District,"10,042","1,263",52
NJ,34,03480,Commercial Township School District,"4,584",837,215
NJ,34,03510,Corbin City School District,473,59,2
NJ,34,03540,Cranbury Township School District,"3,834",808,21
NJ,34,03570,Cranford Township School District,"23,618","4,183",79
NJ,34,03600,Cresskill Borough School District,"9,129","1,981",86
NJ,34,03620,Cumberland Regional School District,"22,823","1,239",164
NJ,34,03630,Deal Borough School District,901,141,14
NJ,34,03660,Deerfield Township School District,"3,079",401,51
NJ,34,03690,Delanco Township School District,"4,868",666,67
NJ,34,03720,Delaware Township School District,"4,589",388,12
NJ,34,03750,Delaware Valley Regional School District,"16,495",824,33
NJ,34,03780,Delran Township School District,"18,046","3,004",239
NJ,34,15450,Delsea Regional High School School District,"21,100","1,692",98
NJ,34,03810,Demarest Borough School District,"4,967",678,29
NJ,34,03840,Dennis Township School District,"6,310",965,88
NJ,34,03870,Denville Township School District,"17,170","1,832",44
NJ,34,03900,Deptford Township School District,"32,433","4,529",379
NJ,34,03930,Dover Town School District,"20,115","2,876",517
NJ,34,03960,Downe Township School District,"1,374",208,28
NJ,34,03990,Dumont Borough School District,"17,812","2,808",124
NJ,34,04020,Dunellen Borough School District,"7,622","1,386",129
NJ,34,04050,Eagleswood Township School District,"1,772",128,15
NJ,34,04080,East Amwell Township School District,"3,942",348,16
NJ,34,04110,East Brunswick Township School District,"49,615","9,129",450
NJ,34,04140,East Greenwich Township School District,"11,873","1,377",42
NJ,34,04170,East Hanover Township School District,"11,146","1,051",29
NJ,34,04200,East Newark Borough School District,"2,517",377,81
NJ,34,04230,East Orange City School District,"68,463","11,485","2,810"
NJ,34,04290,East Rutherford Borough School District,"9,993",845,80
NJ,34,04320,East Windsor Regional School District,"35,328","5,439",365
NJ,34,04350,Eastampton Township School District,"6,248",619,61
NJ,34,04380,Eastern Camden County Regional School District,"40,857","2,224",126
NJ,34,04410,Eatontown Borough School District,"13,607","1,139",125
NJ,34,04440,Edgewater Borough School District,"14,295","1,435",110
NJ,34,04470,Edgewater Park Township School District,"9,012","1,253",194
NJ,34,04500,Edison Township School District,"107,363","18,197","1,015"
NJ,34,04530,Egg Harbor City School District,"4,414",485,108
NJ,34,04560,Egg Harbor Township School District,"48,034","8,324",959
NJ,34,04590,Elizabeth City School District,"135,978","24,013","5,226"
NJ,34,04620,Elk Township School District,"4,487",377,26
NJ,34,04660,Elmwood Park Borough School District,"21,361","3,004",330
NJ,34,04680,Elsinboro Township School District,"1,005",124,10
NJ,34,04710,Emerson Borough School District,"7,269","1,181",34
NJ,34,04740,Englewood City School District,"29,224","4,252",568
NJ,34,04770,Englewood Cliffs Borough School District,"5,327",859,56
NJ,34,04830,Essex Fells Borough School District,"2,207",232,7
NJ,34,04860,Estell Manor City School District,"1,675",275,34
NJ,34,04890,Evesham Township School District,"47,256","4,847",215
NJ,34,04920,Ewing Township School District,"36,624","4,114",406
NJ,34,04950,Fair Haven Borough School District,"6,274","1,041",17
NJ,34,04980,Fair Lawn Borough School District,"34,827","5,982",239
NJ,34,05010,Fairfield Township School District,"7,742",693,39
NJ,34,05040,Fairfield Township School District,"5,446",466,102
NJ,34,05070,Fairview Borough School District,"14,982","2,223",657
NJ,34,05130,Farmingdale Borough School District,"1,505",145,9
NJ,34,05190,Flemington-Raritan Regional School District,"28,505","3,149",160
NJ,34,05220,Florence Township School District,"12,930","1,848",192
NJ,34,05250,Florham Park Borough School District,"12,631","1,153",22
NJ,34,05280,Folsom Borough School District,"1,818",278,25
NJ,34,05310,Fort Lee Borough School District,"40,076","4,743",385
NJ,34,05340,Frankford Township School District,"6,172",520,31
NJ,34,05400,Franklin Borough School District,"4,975",456,66
NJ,34,05370,Franklin Lakes Borough School District,"11,047","1,355",45
NJ,34,05430,Franklin Township School District,"16,613","1,247",84
NJ,34,05460,Franklin Township School District,"3,288",306,9
NJ,34,05490,Franklin Township School District,"68,664","8,704",689
NJ,34,05520,Franklin Township School District,"3,003",208,12
NJ,34,05550,Fredon Township School District,"3,277",248,8
NJ,34,05580,Freehold Borough School District,"12,547","1,390",286
NJ,34,05610,Freehold Regional School District,"197,806","11,505",461
NJ,34,05640,Freehold Township School District,"35,396","3,755",149
NJ,34,05670,Frelinghuysen Township School District,"2,225",175,6
NJ,34,05700,Frenchtown Borough School District,"1,379",123,12
NJ,34,05730,Galloway Township School District,"37,965","3,464",425
NJ,34,05760,Garfield City School District,"32,561","5,185",826
NJ,34,05790,Garwood Borough School District,"4,411",579,33
NJ,34,05820,Gateway Regional School District,"12,852",981,79
NJ,34,05850,Gibbsboro Borough School District,"2,195",231,21
NJ,34,05880,Glassboro Borough School District,"23,479","2,153",288
NJ,34,05940,Glen Ridge Borough School District,"7,673","1,823",28
NJ,34,05970,Glen Rock Borough School District,"12,098","2,723",48
NJ,34,06000,Gloucester City School District,"11,515","2,174",514
NJ,34,06030,Gloucester Township School District,"66,213","7,027",977
NJ,34,00008,Great Meadows Regional School District,"8,235","1,078",40
NJ,34,06060,Greater Egg Harbor Regional School District,"75,812","4,075",437
NJ,34,06120,Green Brook Township School District,"7,313","1,216",42
NJ,34,06090,Green Township School District,"3,674",630,30
NJ,34,06150,Greenwich Township School District,757,80,11
NJ,34,06180,Greenwich Township School District,"4,987",716,59
NJ,34,06210,Greenwich Township School District,"5,538","1,005",51
NJ,34,06240,Guttenberg Town School District,"11,661","1,660",406
NJ,34,06270,Hackensack City School District,"45,898","5,220",840
NJ,34,06300,Hackettstown Town School District,"10,369","1,454",122
NJ,34,06330,Haddon Heights Borough School District,"7,515","1,191",28
NJ,34,06360,Haddon Township School District,"15,449","2,324",152
NJ,34,06390,Haddonfield Borough School District,"12,593","2,897",60
NJ,34,06420,Hainesport Township School District,"6,090",644,38
NJ,34,06450,Haledon Borough School District,"8,876","1,046",183
NJ,34,06480,Hamburg Borough School District,"3,308",248,25
NJ,34,06510,Hamilton Township School District,"27,594","2,980",399
NJ,34,06540,Hamilton Township School District,"90,712","13,322","1,293"
NJ,34,06570,Hammonton Town School District,"14,770","2,407",229
NJ,34,06600,Hampton Borough School District,"1,447",129,19
NJ,34,06630,Hampton Township School District,"4,956",332,17
NJ,34,06660,Hanover Park Regional School District,"38,508","1,633",30
NJ,34,06690,Hanover Township School District,"14,731","1,435",33
NJ,34,06720,Harding Township School District,"3,885",634,14
NJ,34,06780,Hardyston Township School District,"8,230",665,47
NJ,34,06810,Harmony Township School District,"2,532",351,16
NJ,34,06840,Harrington Park Borough School District,"4,727",642,21
NJ,34,06870,Harrison Town School District,"18,873","2,331",411
NJ,34,06900,Harrison Township School District,"13,835","1,493",61
NJ,34,06930,Hasbrouck Heights Borough School District,"12,151","1,827",76
NJ,34,06960,Haworth Borough School District,"3,333",437,12
NJ,34,06990,Hawthorne Borough School District,"19,255","2,845",231
NJ,34,13680,Hazlet Township School District,"20,140","2,991",129
NJ,34,07050,Henry Hudson Regional School District,"9,042",449,22
NJ,34,07080,Hi-Nella Borough School District,930,136,23
NJ,34,07110,High Bridge Borough School District,"3,569",356,19
NJ,34,07140,High Point Regional School District,"21,561","1,024",67
NJ,34,07170,Highland Park Borough School District,"15,042","2,269",192
NJ,34,07200,Highlands Borough School District,"4,624",172,19
NJ,34,07230,Hillsborough Township School District,"43,916","7,723",196
NJ,34,07260,Hillsdale Borough School District,"10,114","1,251",52
NJ,34,07290,Hillside Township School District,"22,240","3,554",436
NJ,34,07320,Ho-Ho-Kus Borough School District,"4,246",907,18
NJ,34,07350,Hoboken City School District,"58,628","4,191",248
NJ,34,07380,Holland Township School District,"5,210",480,17
NJ,34,07410,Holmdel Township School District,"17,413","3,296",84
NJ,34,07440,Hopatcong Borough School District,"14,547","1,788",107
NJ,34,07470,Hope Township School District,"1,857",239,15
NJ,34,07500,Hopewell Township School District,"4,747",464,57
NJ,34,07530,Hopewell Valley Regional School District,"21,830","4,018",80
NJ,34,07560,Howell Township School District,"53,500","5,927",303
NJ,34,07590,Hunterdon Central Regional School District,"53,269","2,661",99
NJ,34,07650,Interlaken Borough School District,829,92,2
NJ,34,07680,Irvington Township School District,"60,167","10,383","2,815"
NJ,34,07710,Island Heights Borough School District,"1,698",126,8
NJ,34,07740,Jackson Township School District,"60,244","11,634","1,535"
NJ,34,07770,Jamesburg Borough School District,"5,771",875,106
NJ,34,07800,Jefferson Township School District,"20,613","2,940",99
NJ,34,07830,Jersey City School District,"283,780","37,769","7,267"
NJ,34,34001,Joint Base McGuire-Dix-Lakehurst,"11,152","1,528",76
NJ,34,07860,Keansburg Borough School District,"9,762","1,561",326
NJ,34,07890,Kearny Town School District,"40,754","6,255",907
NJ,34,07920,Kenilworth Borough School District,"8,346","1,391",72
NJ,34,07950,Keyport Borough School District,"7,209",873,104
NJ,34,07980,Kingsway Regional School District,"30,822","2,478",76
NJ,34,08010,Kingwood Township School District,"3,826",343,24
NJ,34,08040,Kinnelon Borough School District,"10,003","1,843",42
NJ,34,08060,Kittatinny Regional School District,"14,298","1,013",40
NJ,34,08070,Knowlton Township School District,"2,928",182,16
NJ,34,08100,Lacey Township School District,"29,487","4,519",415
NJ,34,08130,Lafayette Township School District,"2,388",223,13
NJ,34,15150,Lake Como Borough School District,"1,698",191,17
NJ,34,08160,Lakehurst Borough School District,"2,712",470,79
NJ,34,08190,Lakeland Regional School District,"22,604","1,084",43
NJ,34,08220,Lakewood Township School District,"139,083","40,497","12,846"
NJ,34,08280,Laurel Springs Borough School District,"1,983",295,33
NJ,34,08310,Lavallette Borough School District,"1,839",131,6
NJ,34,08340,Lawnside Borough School District,"2,963",470,97
NJ,34,08370,Lawrence Township School District,"3,031",560,54
NJ,34,08400,Lawrence Township School District,"32,509","4,365",270
NJ,34,08430,Lebanon Borough School District,"1,676",121,6
NJ,34,08460,Lebanon Township School District,"6,235",590,17
NJ,34,08490,Lenape Regional School District,"146,652","7,614",290
NJ,34,08500,Lenape Valley Regional School District,"15,090",732,33
NJ,34,08520,Leonia Borough School District,"9,277","1,602",120
NJ,34,08580,Lincoln Park Borough School District,"10,955","1,343",66
NJ,34,08610,Linden City School District,"43,318","6,903","1,007"
NJ,34,08640,Lindenwold Borough School District,"21,700","3,313","1,026"
NJ,34,08670,Linwood City School District,"6,999",829,33
NJ,34,08700,Little Egg Harbor Township School District,"21,387","1,422",213
NJ,34,08730,Little Falls Township School District,"13,101","1,006",72
NJ,34,08760,Little Ferry Borough School District,"10,956","1,366",160
NJ,34,08790,Little Silver Borough School District,"6,136",832,15
NJ,34,08820,Livingston Township School District,"30,813","6,318",143
NJ,34,00790,Loch Arbour School District,224,28,3
NJ,34,08850,Lodi Borough School District,"26,131","3,682",494
NJ,34,08880,Logan Township School District,"6,085","1,134",45
NJ,34,08910,Long Beach Island School District,"6,714",222,13
NJ,34,08940,Long Branch City School District,"31,691","4,588",965
NJ,34,12660,Long Hill Township School District,"8,661",970,26
NJ,34,08671,Longport Borough School District,897,86,5
NJ,34,09000,Lopatcong Township School District,"8,880","1,189",64
NJ,34,09030,Lower Alloways Creek Township School District,"1,725",258,27
NJ,34,09090,Lower Cape May Regional School District,"25,936","1,550",174
NJ,34,09150,Lower Township School District,"22,143","1,349",185
NJ,34,09180,Lumberton Township School District,"12,921","1,405",99
NJ,34,09210,Lyndhurst Township School District,"22,454","2,927",257
NJ,34,09240,Madison Borough School District,"16,999","2,837",76
NJ,34,09300,Magnolia Borough School District,"4,364",434,51
NJ,34,09330,Mahwah Township School District,"25,414","3,225",136
NJ,34,09360,Mainland Regional School District,"25,978","1,464",112
NJ,34,09390,Manalapan-Englishtown Regional School District,"43,283","4,770",152
NJ,34,09420,Manasquan Borough School District,"5,943",846,27
NJ,34,09450,Manchester Township School District,"46,425","3,184",366
NJ,34,09480,Mannington Township School District,"1,481",201,25
NJ,34,09510,Mansfield Township School District,"8,979",633,29
NJ,34,09540,Mansfield Township School District,"7,873",576,43
NJ,34,09600,Mantua Township School District,"15,452","1,240",67
NJ,34,09630,Manville Borough School District,"11,001","1,508",161
NJ,34,09660,Maple Shade Township School District,"20,164","2,571",369
NJ,34,09690,Margate City School District,"5,338",485,23
NJ,34,09720,Marlboro Township School District,"41,533","5,250",174
NJ,34,09750,Matawan-Aberdeen Regional School District,"28,916","3,973",241
NJ,34,09780,Maurice River Township School District,"6,105",480,68
NJ,34,09810,Maywood Borough School District,"10,051","1,413",66
NJ,34,09840,Medford Lakes Borough School District,"4,303",538,14
NJ,34,09870,Medford Township School District,"24,722","2,936",90
NJ,34,09900,Mendham Borough School District,"4,999",569,9
NJ,34,09930,Mendham Township School District,"6,038",845,9
NJ,34,09960,Merchantville Borough School District,"3,830",585,84
NJ,34,09990,Metuchen Borough School District,"15,027","2,605",70
NJ,34,10020,Middle Township School District,"20,459","2,972",423
NJ,34,10050,Middlesex Borough School District,"14,606","2,430",148
NJ,34,10110,Middletown Township School District,"67,156","10,910",367
NJ,34,10140,Midland Park Borough School District,"6,994","1,090",39
NJ,34,10170,Milford Borough School District,"1,240",99,8
NJ,34,10200,Millburn Township School District,"21,352","5,189",117
NJ,34,10230,Millstone Township School District,"10,384","1,894",77
NJ,34,10290,Milltown Borough School District,"7,023","1,192",53
NJ,34,10320,Millville City School District,"26,992","5,130","1,255"
NJ,34,10350,Mine Hill Township School District,"4,030",528,49
NJ,34,10380,Monmouth Beach Borough School District,"3,176",257,7
NJ,34,10440,Monmouth Regional School District,"33,879","1,352",72
NJ,34,10470,Monroe Township School District,"37,646","6,261",519
NJ,34,10500,Monroe Township School District,"48,496","6,724",164
NJ,34,10530,Montague Township School District,"3,841",498,58
NJ,34,10560,Montclair Town School District,"40,246","7,351",368
NJ,34,10590,Montgomery Township School District,"24,540","5,190",150
NJ,34,10620,Montvale Borough School District,"8,412","1,032",28
NJ,34,10650,Montville Township School District,"22,532","3,832",98
NJ,34,10680,Moonachie Borough School District,"3,124",496,78
NJ,34,10710,Moorestown Township School District,"21,551","4,187",172
NJ,34,10740,Morris Hills Regional School District,"56,490","2,804",98
NJ,34,10770,Morris Plains Borough School District,"6,176",921,25
NJ,34,10810,Morris Township School District,"43,312","5,593",537
NJ,34,10860,Mount Arlington Borough School District,"5,931",617,29
NJ,34,10890,Mount Ephraim Borough School District,"4,664",640,77
NJ,34,10920,Mount Holly Township School District,"10,073","1,039",200
NJ,34,10950,Mount Laurel Township School District,"45,043","4,325",250
NJ,34,10980,Mount Olive Township School District,"28,992","4,715",191
NJ,34,11010,Mountain Lakes Borough School District,"4,488","1,115",16
NJ,34,11040,Mountainside Borough School District,"6,952","1,200",22
NJ,34,11070,Mullica Township School District,"5,839",580,65
NJ,34,11100,National Park Borough School District,"3,069",238,32
NJ,34,11130,Neptune City School District,"4,630",484,61
NJ,34,11160,Neptune Township School District,"28,082","3,625",464
NJ,34,11190,Netcong Borough School District,"3,387",290,22
NJ,34,11220,New Brunswick City School District,"55,154","8,299","1,802"
NJ,34,11250,New Hanover Township School District,"1,516",258,50
NJ,34,11280,New Milford Borough School District,"16,875","2,491",128
NJ,34,11310,New Providence Borough School District,"13,519","2,536",37
NJ,34,11340,Newark City School District,"306,409","53,778","17,139"
NJ,34,11370,Newfield Elementary School District,"1,799",311,24
NJ,34,11400,Newton Town School District,"8,482","1,149",211
NJ,34,11430,North Arlington Borough School District,"16,410","2,126",148
NJ,34,11460,North Bergen Township School District,"61,483","8,558","1,610"
NJ,34,11490,North Brunswick Township School District,"43,816","6,524",602
NJ,34,11520,North Caldwell Borough School District,"6,583",695,14
NJ,34,11550,North Haledon Borough School District,"8,754",752,49
NJ,34,11580,North Hanover Township School District,"4,625",331,35
NJ,34,11610,North Hunterdon-Voorhees Regional School District,"51,527","2,429",63
NJ,34,11640,North Plainfield Borough School District,"22,908","3,591",484
NJ,34,09550,North Warren Regional School District,"12,541",909,42
NJ,34,11670,North Wildwood City School District,"3,635",241,44
NJ,34,11700,Northern Burlington Regional School District,"26,387","1,705",76
NJ,34,11730,Northern Highlands Regional School District,"15,158","1,002",23
NJ,34,11760,Northern Valley Regional School District,"37,840","2,630",93
NJ,34,11790,Northfield City School District,"8,468",960,67
NJ,34,11820,Northvale Borough School District,"4,747",512,27
NJ,34,11850,Norwood Borough School District,"5,625",666,30
NJ,34,11880,Nutley Town School District,"29,646","4,493",253
NJ,34,11910,Oakland Borough School District,"12,712","1,526",45
NJ,34,11940,Oaklyn Borough School District,"3,941",507,50
NJ,34,11970,Ocean City School District,"11,273","1,214",91
NJ,34,12030,Ocean Gate Borough School District,"1,988",126,27
NJ,34,12060,Ocean Township School District,"27,693","4,094",309
NJ,34,12090,Ocean Township School District,"9,092",930,120
NJ,34,12120,Oceanport Borough School District,"7,605",683,19
NJ,34,12150,Ogdensburg Borough School District,"2,287",218,16
NJ,34,09270,Old Bridge Township School District,"66,741","9,732",550
NJ,34,12180,Old Tappan Borough School District,"5,871",751,35
NJ,34,12210,Oldmans Township School District,"1,918",321,23
NJ,34,12240,Oradell Borough School District,"8,220",813,18
NJ,34,12270,Orange City Township School District,"33,879","5,768","1,453"
NJ,34,12300,Oxford Township School District,"2,473",371,33
NJ,34,12360,Palisades Park Borough School District,"20,234","2,034",467
NJ,34,12390,Palmyra Borough School District,"7,506",857,110
NJ,34,12420,Paramus Borough School District,"26,622","4,122",220
NJ,34,12450,Park Ridge Borough School District,"8,858","1,392",35
NJ,34,12480,Parsippany-Troy Hills Township School District,"56,368","7,681",298
NJ,34,12510,Pascack Valley Regional School District,"34,517","2,041",50
NJ,34,12540,Passaic City School District,"69,167","14,753","3,210"
NJ,34,12600,Passaic County Manchester Regional School District,"23,878","1,235",154
NJ,34,12570,Passaic Valley Regional School District,"37,138","1,528",116
NJ,34,12690,Paterson City School District,"156,629","29,877","7,581"
NJ,34,12720,Paulsboro Borough School District,"6,284","1,194",323
NJ,34,12810,Pemberton Township School District,"26,430","3,986",681
NJ,34,12840,Penns Grove-Carneys Point Regional School District,"13,532","2,373",508
NJ,34,12870,Pennsauken Township School District,"37,175","6,180","1,274"
NJ,34,09120,Pennsville Township School District,"12,739","1,865",184
NJ,34,12900,Pequannock Township School District,"15,628","2,233",60
NJ,34,12930,Perth Amboy City School District,"55,324","10,510","1,833"
NJ,34,12960,Phillipsburg Town School District,"15,429","2,578",604
NJ,34,12990,Pine Hill Borough School District,"10,793","1,667",331
NJ,34,13000,Pinelands Regional School District,"28,209","1,832",235
NJ,34,13050,Piscataway Township School District,"60,681","7,671",521
NJ,34,13080,Pitman Borough School District,"8,905","1,359",66
NJ,34,13110,Pittsgrove Township School District,"10,168","1,602",127
NJ,34,13140,Plainfield City School District,"54,061","10,172","2,211"
NJ,34,13200,Pleasantville City School District,"20,712","3,584",852
NJ,34,13230,Plumsted Township School District,"8,306","1,347",78
NJ,34,13260,Pohatcong Township School District,"3,279",416,27
NJ,34,13320,Point Pleasant Beach Borough School District,"5,245",661,39
NJ,34,13290,Point Pleasant Borough School District,"19,491","3,229",148
NJ,34,13350,Pompton Lakes Borough School District,"10,911","1,706",113
NJ,34,13380,Port Republic City School District,"1,105",181,9
NJ,34,13410,Princeton Public Schools,"30,154","4,333",178
NJ,34,13470,Prospect Park Borough School District,"6,248",883,191
NJ,34,13500,Quinton Township School District,"2,591",372,36
NJ,34,13530,Rahway City School District,"29,272","4,201",520
NJ,34,13560,Ramapo-Indian Hill Regional School District,"40,296","2,494",52
NJ,34,13590,Ramsey Borough School District,"14,756","2,668",72
NJ,34,13620,Rancocas Valley Regional School District,"44,536","2,295",185
NJ,34,13650,Randolph Township School District,"26,601","4,847",117
NJ,34,13710,Readington Township School District,"16,232","1,552",63
NJ,34,13740,Red Bank Borough School District,"12,946","1,233",229
NJ,34,13750,Red Bank Regional School District,"23,268","1,118",88
NJ,34,13770,Ridgefield Borough School District,"11,468","1,643",254
NJ,34,13800,Ridgefield Park Township School District,"13,186","1,974",187
NJ,34,13830,Ridgewood Village School District,"25,905","5,941",141
NJ,34,13860,Ringwood Borough School District,"11,509","1,249",45
NJ,34,12260,River Dell Regional School District,"20,235","1,786",39
NJ,34,13890,River Edge Borough School District,"12,015","1,243",35
NJ,34,13950,River Vale Township School District,"9,881","1,207",28
NJ,34,13980,Riverdale Borough School District,"4,122",400,30
NJ,34,14010,Riverside Township School District,"8,077","1,257",203
NJ,34,14040,Riverton Borough School District,"2,789",416,22
NJ,34,17100,Robbinsville Township School District,"15,210","3,103",81
NJ,34,14070,Rochelle Park Township School District,"5,797",711,33
NJ,34,14100,Rockaway Borough School District,"6,622",631,39
NJ,34,14130,Rockaway Township School District,"25,431","2,460",91
NJ,34,14160,Rockleigh Borough School District,406,50,3
NJ,34,14220,Roosevelt Borough School District,809,98,6
NJ,34,14250,Roseland Borough School District,"6,195",500,20
NJ,34,14280,Roselle Borough School District,"22,477","3,414",498
NJ,34,14310,Roselle Park Borough School District,"13,833","2,197",195
NJ,34,14340,Roxbury Township School District,"23,034","3,561",130
NJ,34,14370,Rumson Borough School District,"7,349","1,157",25
NJ,34,14400,Rumson-Fair Haven Regional School District,"13,622","1,048",16
NJ,34,14430,Runnemede Borough School District,"8,347",818,99
NJ,34,14460,Rutherford Borough School District,"18,780","2,842",138
NJ,34,14490,Saddle Brook Township School District,"14,253","1,990",131
NJ,34,14520,Saddle River Borough School District,"3,362",470,32
NJ,34,14550,Salem City School District,"5,319","1,113",364
NJ,34,14610,Sandyston-Walpack Township School District,"2,010",128,5
NJ,34,14640,Sayreville Borough School District,"45,253","6,926",553
NJ,34,14670,Scotch Plains-Fanwood Regional School District,"32,427","6,079",143
NJ,34,14730,Sea Girt Borough School District,"1,867",194,3
NJ,34,14760,Sea Isle City School District,"2,112",121,10
NJ,34,14790,Seaside Heights Borough School District,"2,511",174,68
NJ,34,14820,Seaside Park Borough School District,"1,478",35,5
NJ,34,14850,Secaucus Town School District,"21,523","2,936",186
NJ,34,14880,Shamong Township School District,"6,519",778,34
