year,system_name,subgroup,pct_met_exceeded,student_group
2022,Maryville,,75.0,All Students
2022,Maryville,,77.7,All Students
2022,Maryville,,79.4,All Students
2022,Maryville,,73.5,All Students
2022,Maryville,,75.3,All Students
2022,Maryville,,57.1,All Students
2022,Maryville,,61.9,All Students
2022,Maryville,,67.4,All Students
2022,Maryville,,72.9,All Students
2022,Maryville,,82.5,All Students
2022,Maryville,,74.3,All Students
2022,Maryville,,57.1,All Students
2022,Maryville,,65.1,All Students
2022,Maryville,,57.1,All Students
2022,Maryville,,73.8,All Students
2022,Bradley County,,40.7,All Students
2022,Bradley County,,53.8,All Students
2022,Bradley County,,43.2,All Students
2022,Bradley County,,40.9,All Students
2022,Bradley County,,53.8,All Students
2022,Bradley County,,44.7,All Students
2022,Bradley County,,42.9,All Students
2022,Bradley County,,45.9,All Students
2022,Bradley County,,45.0,All Students
2022,Bradley County,,37.5,All Students
2022,Bradley County,,34.4,All Students
2022,Bradley County,,50.0,All Students
2022,Bradley County,,30.2,All Students
2022,Bradley County,,53.0,All Students
2022,Bradley County,,39.6,All Students
2022,Bradley County,,35.2,All Students
2022,Bradley County,,35.1,All Students
2022,Bradley County,,44.4,All Students
2022,Bradley County,,44.1,All Students
2022,Bradley County,,,All Students
2022,Bradley County,,28.2,All Students
2022,Bradley County,,26.8,All Students
2022,Bradley County,,26.4,All Students
2022,Bradley County,,2.1,All Students
2022,Bradley County,,,All Students
2022,Bradley County,,33.3,All Students
2022,Bradley County,,70.7,All Students
2022,Bradley County,,12.6,All Students
2022,Bradley County,,10.0,All Students
2022,Bradley County,,19.6,All Students
2022,Bradley County,,42.5,All Students
2022,Bradley County,,71.4,All Students
2022,Bradley County,,48.9,All Students
2022,Bradley County,,50.1,All Students
2022,Bradley County,,37.4,All Students
2022,Bradley County,,29.3,All Students
2022,Bradley County,,50.0,All Students
2022,Bradley County,,39.3,All Students
2022,Bradley County,,47.0,All Students
2022,Bradley County,,41.4,All Students
2022,Bradley County,,40.3,All Students
2022,Bradley County,,60.0,All Students
2022,Bradley County,,49.1,All Students
2022,Bradley County,,41.5,All Students
2022,Bradley County,,40.3,All Students
2022,Bradley County,,40.2,All Students
2022,Bradley County,,50.0,All Students
2022,Bradley County,,36.9,All Students
2022,Bradley County,,55.9,All Students
2022,Bradley County,,41.4,All Students
2022,Bradley County,,53.3,All Students
2022,Bradley County,,41.1,All Students
2022,Bradley County,,50.0,All Students
2022,Bradley County,,42.3,All Students
2022,Bradley County,,43.8,All Students
2022,Bradley County,,45.5,All Students
2022,Bradley County,,30.9,All Students
2022,Bradley County,,50.0,All Students
2022,Bradley County,,31.4,All Students
2022,Cleveland,,,All Students
2022,Cleveland,,46.2,All Students
2022,Cleveland,,11.8,All Students
2022,Cleveland,,15.0,All Students
2022,Cleveland,,82.3,All Students
2022,Cleveland,,14.8,All Students
2022,Cleveland,,29.4,All Students
2022,Cleveland,,83.8,All Students
2022,Cleveland,,83.3,All Students
2022,Cleveland,,37.1,All Students
2022,Cleveland,,40.0,All Students
2022,Cleveland,,48.3,All Students
2022,Cleveland,,83.3,All Students
2022,Cleveland,,28.9,All Students
2022,Cleveland,,33.9,All Students
2022,Cleveland,,28.2,All Students
2022,Cleveland,,33.8,All Students
2022,Cleveland,,31.7,All Students
2022,Cleveland,,30.0,All Students
2022,Cleveland,,22.6,All Students
2022,Cleveland,,33.3,All Students
2022,Cleveland,,29.8,All Students
2022,Cleveland,,38.1,All Students
2022,Cleveland,,36.7,All Students
2022,Cleveland,,52.6,All Students
2022,Cleveland,,52.2,All Students
2022,Cleveland,,14.8,All Students
2022,Cleveland,,15.4,All Students
2022,Cleveland,,6.7,All Students
2022,Cleveland,,84.6,All Students
2022,Cleveland,,26.3,All Students
2022,Cleveland,,29.8,All Students
2022,Cleveland,,35.1,All Students
2022,Cleveland,,27.6,All Students
2022,Cleveland,,27.8,All Students
2022,Cleveland,,24.5,All Students
2022,Cleveland,,80.0,All Students
2022,Cleveland,,19.4,All Students
2022,Cleveland,,50.0,All Students
2022,Cleveland,,27.5,All Students
2022,Cleveland,,18.9,All Students
2022,Cleveland,,30.9,All Students
2022,Cleveland,,23.0,All Students
2022,Cleveland,,36.7,All Students
2022,Cleveland,,34.5,All Students
2022,Cleveland,,54.5,All Students
2022,Cleveland,,24.2,All Students
2022,Cleveland,,57.1,All Students
2022,Cleveland,,27.9,All Students
2022,Cleveland,,41.1,All Students
2022,Cleveland,,38.1,All Students
2022,Cleveland,,54.5,All Students
2022,Cleveland,,34.4,All Students
2022,Cleveland,,46.2,All Students
2022,Cleveland,,37.8,All Students
2022,Cleveland,,20.3,All Students
2022,Cleveland,,41.7,All Students
2022,Cleveland,,21.4,All Students
2022,Campbell County,,8.5,All Students
2022,Campbell County,,14.9,All Students
2022,Campbell County,,14.4,All Students
2022,Campbell County,,18.6,All Students
2022,Campbell County,,17.9,All Students
2022,Campbell County,,17.1,All Students
2022,Campbell County,,23.3,All Students
2022,Campbell County,,20.6,All Students
2022,Campbell County,,44.4,All Students
2022,Campbell County,,26.4,All Students
2022,Campbell County,,27.4,All Students
2022,Campbell County,,36.3,All Students
2022,Campbell County,,30.0,All Students
2022,Campbell County,,24.9,All Students
2022,Campbell County,,26.9,All Students
2022,Campbell County,,17.4,All Students
2022,Campbell County,,15.8,All Students
2022,Campbell County,,27.1,All Students
2022,Campbell County,,16.7,All Students
2022,Campbell County,,25.3,All Students
2022,Campbell County,,24.7,All Students
2022,Campbell County,,32.6,All Students
2022,Campbell County,,20.0,All Students
2022,Campbell County,,32.1,All Students
2022,Campbell County,,10.6,All Students
2022,Campbell County,,14.2,All Students
2022,Campbell County,,4.0,All Students
2022,Campbell County,,12.1,All Students
2022,Campbell County,,26.4,All Students
2022,Campbell County,,31.0,All Students
2022,Campbell County,,29.7,All Students
2022,Campbell County,,29.3,All Students
2022,Campbell County,,21.3,All Students
2022,Campbell County,,21.6,All Students
2022,Campbell County,,31.6,All Students
2022,Campbell County,,26.4,All Students
2022,Campbell County,,29.1,All Students
2022,Campbell County,,43.0,All Students
2022,Campbell County,,28.4,All Students
2022,Campbell County,,21.7,All Students
2022,Campbell County,,23.4,All Students
2022,Campbell County,,15.7,All Students
2022,Campbell County,,25.0,All Students
2022,Campbell County,,26.9,All Students
2022,Campbell County,,22.7,All Students
2022,Campbell County,,25.1,All Students
2022,Campbell County,,26.1,All Students
2022,Campbell County,,12.5,All Students
2022,Campbell County,,24.7,All Students
2022,Campbell County,,20.7,All Students
2022,Campbell County,,20.5,All Students
2022,Campbell County,,36.4,All Students
2022,Campbell County,,21.5,All Students
2022,Cannon County,,,All Students
2022,Cannon County,,11.8,All Students
2022,Cannon County,,10.4,All Students
2022,Cannon County,,6.5,All Students
2022,Cannon County,,5.3,All Students
2022,Cannon County,,5.9,All Students
2022,Cannon County,,30.8,All Students
2022,Cannon County,,30.4,All Students
2022,Cannon County,,25.5,All Students
2022,Cannon County,,36.7,All Students
2022,Cannon County,,17.9,All Students
2022,Cannon County,,21.7,All Students
2022,Cannon County,,33.8,All Students
2022,Cannon County,,22.3,All Students
2022,Cannon County,,81.8,All Students
2022,Cannon County,,26.2,All Students
2022,Cannon County,,31.0,All Students
2022,Cannon County,,31.0,All Students
2022,Cannon County,,34.2,All Students
2022,Cannon County,,34.2,All Students
2022,Cannon County,,66.7,All Students
2022,Cannon County,,29.2,All Students
2022,Cannon County,,36.7,All Students
2022,Cannon County,,28.1,All Students
2022,Cannon County,,18.6,All Students
2022,Cannon County,,16.0,All Students
2022,Cannon County,,8.3,All Students
